dataset, variable
BaMet1998, Tair_200
BaMet1998, prec
BaMet1998, RH_200
BaMet1998, Dsn
BaMet1998, RadNet
BaMet1998, SwIn
BaMet1998, LwOut
BaMet1998, Tpan_CG1
BaMet1998, wind_v_200
BaMet1998, wind_deg_200
BaMet1998, wind_sddeg_200
BaMet1998, Tair_5
BaMet1998, Tair_20
BaMet1998, Tair_35
BaMet1998, Tair_48
BaMet1998, Tair_100
BaMet1998, Ts_252_2
BaMet1998, Ts_252_12
BaMet1998, Ts_252_32
BaMet1998, Ts_252_62
BaMet1998, Ts_252_102
BaMet1998, Ts_252_152
BaMet1998, Ts_203_2
BaMet1998, Ts_203_5
BaMet1998, Ts_203_23
BaMet1998, Ts_203_53
BaMet1998, Ts_203_93
BaMet1998, Ts_203_143
BaMet1998, G_cen_18
BaMet1998, G_left_24
BaMet2009, batt_U
BaMet2009, Tair_4
BaMet2009, Tair_20
BaMet2009, Tair_100
BaMet2009, Tair_200
BaMet2009, RH_200
BaMet2009, wind_v_200
BaMet2009, wind_deg_200
BaMet2009, wind_sddeg_200
BaMet2009, wind_vmax_200
BaMet2009, wind_vmin_200
BaMet2009, prec
BaMet2009, distraw
BaMet2009, snowsq
BaMet2009, distcor
BaMet2009, Dsn
BaMet2009, Ts_252_2
BaMet2009, Ts_252_12
BaMet2009, Ts_252_32
BaMet2009, Ts_252_62
BaMet2009, Ts_252_102
BaMet2009, Ts_252_152
BaMet2009, Ts_203_2
BaMet2009, Ts_203_5
BaMet2009, Ts_203_23
BaMet2009, Ts_203_53
BaMet2009, Ts_203_93
BaMet2009, Ts_203_143
BaMet2009, SwIn
BaMet2009, SwOut
BaMet2009, LwIn_rawcor
BaMet2009, LwOut_rawcor
BaMet2009, LwIn
BaMet2009, LwOut
BaMet2009, SwIn_raw
BaMet2009, SwOut_raw
BaMet2009, LwIn_raw
BaMet2009, LwOut_raw
BaMet2009, SwNet
BaMet2009, LwNet
BaMet2009, Albedo
BaMet2009, RadNet
BaMet2009, Tpan_NR1
BaSoil1998, Ts_67_4
BaSoil1998, Ts_67_16
